Handmade catalog of Pulsars outside SNRs from the ATNF
#, NAME, P0 (s), P1
150, J0459-0210, mld+96, 1.133076123659, 6, hlk+04, 1.39825E-15, 6, hlk+04 

151, J0501+4516, gwk08, 5.76209653, 4, gwk+10, 5.82E-12, 3, gwk+10 
152, B0458+46, dth78, 0.638565481517, 3, hlk+04, 5.582339E-15, 17, hlk+04 
153, B0502-66, mmh+91, 0.69125141818, 4, ckm+01, 2.3090E-14, 6, ckm+01 
154, J0509+0856, mgf+19, 0.0040558382315644, 5, mgf+19, 4.412E-21, 12, mgf+19 
155, J0509+3801, slr+14, 0.07654134872199, 12, lsk+18, 7.931E-18, 3, lsk+18 

156, J0511-6508, mfl+06, 0.322061827468, 8, mfl+06, 0.206E-15, 4, mfl+06 
157, J0514-4002A, fgri04, 0.004990575114112, 3, rfgr19, 7.0E-22, 13, rfgr19 
158, J0514-4408, bcm+16, 0.3202708224090, 7, brs+19, 2.042031E-15, 11, brs+19 
159, J0517+2212, cha03, 0.2223665151982, 7, bfrs18, 1.16047E-17, 15, bfrs18 
160, J0518+5125, scb+19, 0.912511685262, 8, mbc+20, 1.91E-16, 1, mbc+20 

161, J0518+5416, slr+14, 0.340202651600, 6, lsk+18, 1.676E-15, 4, lsk+18 
162, J0519-6932, mfl+06, 0.263211634568, 3, mfl+06, 0.6968E-15, 5, mfl+06 
163, J0520-2553, lml+98, 0.2416421756731, 7, hlk+04, 3.0092E-17, 9, hlk+04 
164, J0522-6847, mfl+06, 0.67453190906, 3, mfl+06, 17.727E-15, 14, mfl+06 
165, B0523+11, mlt+78, 0.35443759451370, 13, hlk+04, 7.36052E-17, 6, hlk+04 

166, B0525+21, sr68, 3.74553925030, 3, ywml10, 4.00530E-14, 15, ywml10 
167, J0529-0715, clh+20, 0.689223601359, 9, clh+20, 5.755E-16, 9, clh+20 
168, B0529-66, mhah83, 0.975736826742, 20, lbs+20, 1.54735E-14, 4, lbs+20 
169, J0532-6639, mfl+06, 0.64274275093, 3, mfl+06, 5.354E-15, 13, mfl+06 
170, J0533+0402, snt97, 0.963017825057, 19, lbs+20, 1.6002E-16, 8, lbs+20 

171, J0533-4524, ovm+20, 0.157284525096, 2, ovm+20, 2.8024E-16, 2, ovm+20 
172, J0533+6759, san16, 0.0043881599698794, 4, saa+23, 1.2618E-20, 6, saa+23 
173, J0534-6703, mfl+06, 1.81756503106, 17, mfl+06, 425.05E-15, 6, mfl+06 
174, J0535-6935, ckm+01, 0.20051133, 2, mfl+06, 11.5E-15, 3, mfl+06 
175, B0538-75, mlt+78, 1.245856132914, 8, jbv+19, 5.777E-16, 13, jbv+19 

176, J0540+3207, cfl+06, 0.5242708632083, 5, nab+13, 0.44811E-15, 2, nab+13 
177, J0540-7125, lml+98, 1.286014595, 3, dsb+98, 8.2E-16, 8, dsb+98 
178, B0540+23, dls72, 0.2459747688901, 19, hlk+04, 1.5422691E-14, 19, hlk+04 
179, J0543-6851, mfl+06, 0.70895418575, 6, mfl+06, 3.94E-15, 3, mfl+06 
180, J0546+2441, clm+05, 2.84385038524, 6, clm+05, 7.65E-15, 3, clm+05 

181, J0555-7056, mfl+06, 0.82783808575, 7, mfl+06, 5.96E-15, 3, mfl+06 
182, J0557+1550, skl+15, 0.0025563670767829, 6, skl+15, 7.352E-21, 20, skl+15 
183, J0557-2948, kmk+18, 0.0436426389000, 3, kmk+18, 0.000073E-15, 5, kmk+18 
184, B0559-57, mlt+78, 2.261364513, 3, nmc81, 2.78E-15, 9, nmc81 
185, B0559-05, mlt+78, 0.3959691695432, 5, hlk+04, 1.302098E-15, 5, hlk+04 

186, J0605+3757, san16, 0.00272795420005466, 8, saa+23, 4.717E-21, 3, saa+23 
187, J0608+1635, ttk+17, 0.945844752002, 3, psf+22, 13.51042E-15, 18, psf+22 
188, J0609+2130, lxf+05, 0.05569801392951, 2, lxf+05, 0.000235E-15, 2, lxf+05 
189, J0610-2100, bjd+06, 0.00386132476693726, 9, vbc+22, 1.232661E-20, 11, vbc+22 
190, J0611+1436, lsb+17, 0.27032946262, 3, lsb+17, 3.997E-15, 3, lsb+17 

191, B0609+37, stwd85, 0.29798232657184, 18, hlk+04, 5.94681E-17, 18, hlk+04 
192, J0612+37216, slr+14, 0.443871367665, 20, lsk+18, 1.50E-16, 14, lsk+18 
193, J0613-0200, lnl+95, 0.003061844088621657, 10, rsc+21, 9.59043E-21, 18, rsc+21 
194, J0613+3731, cvh+14, 0.61919818110, 7, cvh+14, 3.2448E-15, 20, cvh+14 
195, B0611+22, dls72, 0.33495996611, 16, hlk+04, 5.94494E-14, 12, hlk+04 

196, J0614-3329, rrc+11, 0.00314866958536681, 4, cpb+23, 1.7419E-20, 4, cpb+23 
197, J0621+0336, bkl+13, 0.2699540683678, 9, bkl+13, 0.00724E-15, 6, bkl+13 
198, J0621+1002, cnst96, 0.0288538611940574, 16, dcl+16, 4.730E-20, 5, dcl+16 
199, J0621+2514, san16, 0.0027217879391872, 4, san16, 24.83E-21, 3, san16 
200, J0622+3749, pga+12, 0.333208231801, 6, pga+12, 2.54237E-14, 5, pga+12 

201, J0623+0340, bkl+13, 0.613759600022, 7, bkl+13, 0.08837E-15, 3, bkl+13 
202, B0621-04, mlt+78, 1.0390764758510, 15, hlk+04, 8.30442E-16, 12, hlk+04 
203, J0627+0649, bkl+13, 0.346522567131, 13, bkl+13, 1.698E-15, 3, bkl+13 
204, J0627+0706, cha03, 0.475884937713, 3, lbs+20, 2.980860E-14, 12, lbs+20 
205, J0628+0909, cfl+06, 1.241421391299, 3, nab+13, 0.5479E-15, 2, nab+13 

206, B0626+24, dth78, 0.476622836038, 4, hlk+04, 1.99573E-15, 3, hlk+04 
207, J0630-0046, bkl+13, 0.680574832268, 7, bkl+13, 3.7481E-15, 19, bkl+13 
208, B0628-28, vl69, 1.24441859615, 8, hlk+04, 7.1229E-15, 3, hlk+04 
209, J0631+0646, cwp+17, 0.1109789432160, 8, cwp+17, 3.61723E-15, 3, cwp+17 
210, J0631+1036, zcwl96, 0.28781555572, 5, saa+23, 1.027171E-13, 5, saa+23 

211, J0633+1746, hh92, 0.2370994416923, 20, jh05, 1.097087E-14, 5, jh05 
212, J0633-2015, bjd+06, 3.2532108384, 5, bjd+06, 3.82E-15, 8, bjd+06 
213, J0636-4549, bjd+06, 1.98459736713, 4, bjd+06, 3.1722E-15, 20, bjd+06 
214, J0636+5128, slr+14, 0.00286895289071925, 4, saa+23, 3.44901E-21, 13, saa+23 
215, J0645+5158, slr+14, 0.008853496686414667, 11, aab+21a, 4.9211E-21, 4, aab+21a 

216, J0646+0905, bkl+13, 0.90391335651, 8, lbs+20, 7.3609E-16, 17, lbs+20 
217, J0647+0913, bkl+13, 1.23485362778, 3, bkl+13, 6.421E-15, 8, bkl+13 
218, J0652-0142, bkl+13, 0.924053918109, 14, bkl+13, 0.1525E-15, 12, bkl+13 
219, J0653+4706, bph+17a, 0.0047581298242818, 16, saa+23, 2.076E-20, 7, saa+23 
220, B0643+80, dbtb82, 1.2144405115160, 20, hlk+04, 3.798787E-15, 15, hlk+04 

221, J0656-2228, bjd+06, 1.22475441462, 3, bjd+06, 0.0267E-15, 17, bjd+06 
