---------------------------------------------------------------------------------------------------------------------------------------------
#, NAME, P0, P1, DIST, AGE, EDOT, EDOTD2
, (s), , (kpc), (Yr), (ergs/s), (ergs/kpc^2/s)
---------------------------------------------------------------------------------------------------------------------------------------------
92, J0312-0921, trr+21, 0.0037043355330862, 3, saa+23, 1.9723E-20, 6, saa+23, 0.817, 2.98e+09, 1.5e+34, 2.3e+34
93, J0318+0253, wlz+18, 0.0051898521745201, 14, wlc+21, 1.762E-20, 3, wlc+21, 1.328, 4.67e+09, 5.0e+33, 2.8e+33
94, B0320+39, dth78, 3.032071956385, 10, hlk+04, 6.3562E-16, 7, hlk+04, 0.940, 7.56e+07, 9.0e+29, 1.0e+30
95, J0324+5239, bck+13, 0.336620230291, 3, bck+13, 3.81E-16, 3, bck+13, 2.290, 1.4e+07, 3.9e+32, 7.5e+31

96, J0325+6744, slr+14, 1.364678767282, 15, lsk+18, 1.553E-15, 10, lsk+18, 1.929, 1.39e+07, 2.4e+31, 6.5e+30
97, J0329+1654, lxf+05, 0.8933196606490, 10, lxf+05, 2.1525E-16, 6, lxf+05, 2.557, 6.58e+07, 1.2e+31, 1.8e+30
98, B0329+54, cp68, 0.714519699726, 4, hlk+04, 2.048265E-15, 8, hlk+04, 1.680, 5.53e+06, 2.2e+32, 7.9e+31
99, B0331+45, dtws85, 0.26920054092953, 13, hlk+04, 7.3505E-18, 10, hlk+04, 2.410, 5.8e+08, 1.5e+31, 2.6e+30
100, J0335+6623, slr+14, 1.76193424742, 19, lsk+18, 4.81E-15, 10, lsk+18, 1.907, 5.8e+06, 3.5e+31, 9.5e+30

101, J0337+1715, rsa+14, 0.00273258863244, 9, rsa+14, 1.7666E-20, 9, rsa+14, 1.300, 2.45e+09, 3.4e+34, 2.0e+34
102, J0340+4130, wmg+22, 0.003299339366490734, 17, abb+18, 7.0470E-21, 12, abb+18, 1.603, 7.42e+09, 7.7e+33, 3.0e+33
103, B0339+53, dth78, 1.934478067294, 15, hlk+04, 1.342243E-14, 15, hlk+04, 1.705, 2.28e+06, 7.3e+31, 2.5e+31
104, J0343-3000, bjd+06, 2.59702715738, 9, bjd+06, 5.7E-17, 9, bjd+06, 1.594, 7.22e+08, 1.3e+29, 5.1e+28
105, J0344-0901, clh+20, 1.226005572598, 13, clh+20, 3.4708E-15, 16, clh+20, 1.507, 5.6e+06, 7.4e+31, 3.3e+31

106, J0348+0432, lbr+13, 0.0391226563571297, 16, cpb+23, 2.4128E-19, 11, cpb+23, 2.100, 2.57e+09, 1.6e+32, 3.6e+31
107, J0349+2340, scb+19, 2.42077097760, 4, mbc+20, 1.0995E-15, 7, mbc+20, 3.746, 3.49e+07, 3.1e+30, 2.2e+29
108, J0357+3205, aaa+09c, 0.4441044988, 6, rkp+11, 1.3037E-14, 20, rkp+11, 0.835, 5.4e+05, 5.9e+33, 8.4e+33
109, B0353+52, dtws85, 0.1970300980314, 3, hlk+04, 4.76594E-16, 3, hlk+04, 2.900, 6.55e+06, 2.5e+33, 2.9e+32
110, J0358+4155, slr+14, 0.2264843322519, 3, lsk+18, 1.4583E-16, 16, lsk+18, 1.481, 2.46e+07, 5.0e+32, 2.3e+32

111, B0355+54, mth72, 0.156384121559, 8, lwy+16, 4.39496E-15, 5, lwy+16, 1.000, 5.64e+05, 4.5e+34, 4.5e+34
112, J0358+6627, slr+14, 0.09150578075475, 17, lsk+18, 1.089E-17, 9, lsk+18, 1.884, 1.33e+08, 5.6e+32, 1.6e+32
113, B0403-76, mlt+78, 0.54525418661, 3, lbs+20, 1.54380E-15, 12, lbs+20, 1.014, 5.6e+06, 3.8e+32, 3.7e+32
114, J0402+4825, ccl+21, 0.512194448731, 3, ccl+21, 2.755E-16, 6, ccl+21, 1.849, 2.95e+07, 8.1e+31, 2.4e+31
115, J0405+3347, spp+23, 0.0639539494812, 17, spp+23, 1.64E-19, 13, spp+23, 1.655, 6.19e+09, 2.5e+31, 9.0e+30

116, B0402+61, dth78, 0.5945761650437, 8, ywml10, 5.57316E-15, 3, ywml10, 4.200, 1.69e+06, 1.0e+33, 5.9e+31
117, J0407+1607, lxf+05, 0.02570173919463, 2, lxf+05, 7.9E-20, 3, lxf+05, 1.337, 5.15e+09, 1.8e+32, 1.0e+32
118, B0410+69, dtws85, 0.3907150899386, 3, hlk+04, 7.6601E-17, 3, hlk+04, 1.367, 8.08e+07, 5.1e+31, 2.7e+31
119, J0418+6635, trr+21, 0.00291018473, 9, saa+23, 1.3662E-20, 9, saa+23, 2.205, 3.37e+09, 2.2e+34, 4.5e+33
120, J0418-4154, bcm+16, 0.757118945031, 12, lbs+20, 1.31944E-15, 4, lbs+20, 2.519, 9.09e+06, 1.2e+32, 1.9e+31

121, J0421+3255, ttol16, 0.9001050160, 10, tbc+20, 6.0E-17, 20, tbc+20, 1.939, 2.38e+08, 3.2e+30, 8.6e+29
122, J0421-0345, mld+96, 2.161308494552, 15, hlk+04, 1.16338E-15, 15, hlk+04, 2.197, 2.94e+07, 4.5e+30, 9.4e+29
123, J0426+4933, hrk+08, 0.922474730055, 2, bck+13, 3.93444E-14, 2, bck+13, 1.795, 3.71e+05, 2.0e+33, 6.1e+32
124, J0435+2749, rtj+96, 0.3262794534509, 14, bfrs18, 8.17E-18, 11, bfrs18, 1.521, 6.33e+08, 9.3e+30, 4.0e+30
125, J0437-4715, jlh+93, 0.005757451936712637, 17, rhc+16, 5.729215E-20, 17, rhc+16, 0.157, 1.59e+09, 1.2e+34, 4.8e+35

126, J0447+2447, crafts23, 0.00299528235041382, 9, wyw+23, 7.996E-21, 9, wyw+23, 0.925, 5.93e+09, 1.2e+34, 1.4e+34
127, J0448-2749, lml+98, 0.4504483308563, 17, hlk+04, 1.48347E-16, 19, hlk+04, 1.809, 4.81e+07, 6.4e+31, 2.0e+31
128, J0449-7031, mfl+06, 0.479163971291, 14, mfl+06, 3.371E-15, 4, mfl+06, 49.700, 2.25e+06, 1.2e+33, 4.9e+29
129, B0447-12, mlt+78, 0.4380141493906, 8, hlk+04, 1.02649E-16, 6, hlk+04, 1.774, 6.76e+07, 4.8e+31, 1.5e+31
